1;Майкоп
2;Горно-Алтайск
3;Уфа
4;Улан-Удэ
5;Махачкала
6;Магас
7;Нальчик
8;Элиста
9;Черкесск
10;Петрозаводск
11;Сыктывкар
12;Симферополь
13;Йошкар-Ола
14;Саранск
15;Якутск
16;Владикавказ
17;Казань
18;Кызыл
19;Ижевск
20;Абакан
21;Грозный
22;Чебоксары
23;Барнаул
24;Чита
25;Петропавловск-Камчатский
26;Краснодар
27;Красноярск
28;Пермь
29;Владивосток
30;Ставрополь
31;Хабаровск
32;Благовещенск
33;Архангельск
34;Астрахань
35;Белгород
36;Брянск
37;Владимир
38;Волгоград
39; Вологда
40;Воронеж
41;Иваново
42;Иркутск
43;Калининград
44;Калуга
45;Кемерово
46;Киров
47;Кострома
48;Курган
49;Курск
50;Липецк
51;Магадан
52;Красногорск
53;Мурманск
54;Нижний Новгород
55;Великий Новгород
56;Новосибирск
57;Омск
58;Оренбург
59;Орёл
60;Пенза
61;Псков
62;Ростов-на-Дону
63;Рязань
64;Самара
65;Саратов
66;Южно-Сахалинск
67;Екатеринбург
68;Смоленск
69;Тамбов
70;Тверь
71;Томск
72;Тула
73;Тюмень
74;Ульяновск
75;Челябинск
76;Ярославль
77;Москва
78;Санкт-Петербург
79;Севастополь
80;Биробиджан
81;Нарьян-Мар
82;Ханты-Мансийск
83;Анадырь
84;Салехард
85;Гатчина
